Station,Silver,Orange,Blue,Red,Yellow,Green
Anacostia,,,,,,6
U Street-Cardozo,,,,,14,14
Columbia Heights,,,,,15,15
Judiciary Square,,,,17,,
Smithsonian,17,15,16,,,
Dupont Circle,,,,13,,
Shaw-Howard University,,,,,13,13
Clarendon,9,7,,,,
Suitland,,,,,,2
Congress Heights,,,,,,5
College Park-U of MD,,,,,20,20
Cleveland Park,,,,11,,
Takoma,,,,23,,
Farragut West,13,11,12,,,
Farragut North,,,,14,,
Federal Triangle,16,14,15,,,
Tysons Corner,4,,,,,
Gallery Place-Chinatown,,,,16,11,11
Wheaton,,,,26,,
Vienna,,1,,,,
Capitol South,20,18,19,,,
Van Ness-UDC,,,,10,,
Fort Totten,,,,22,17,17
Huntington,,,,,1,
Bethesda,,,,7,,
Foggy Bottom,12,10,11,,,
Rhode Island Avenue,,,,20,,
Capitol Heights,25,,24,,,
Georgia Avenue-Petworth,,,,,16,16
Mt. Vernon Square-UDC,,,,,12,12
Brookland,,,,21,,
Grosvenor,,,,5,,
Tenleytown-AU,,,,9,,
Woodley Park-Zoo,,,,12,,
Pentagon City,,,7,,7,
Union Station,,,,18,,
Forest Glen,,,,25,,
Wiehle,1,,,,,
Crystal City,,,6,,6,
Metro Center,15,13,14,15,,
Federal Center SW,19,17,18,,,
White Flint,,,,4,,
Silver Spring,,,,24,,
Court House,10,8,,,,
Friendship Heights,,,,8,,
Minnesota Avenue,,22,,,,
Greenbelt,,,,,21,21
New Carrollton,,26,,,,
Rosslyn,11,9,10,,,
Braddock Road,,,4,,4,
Rockville,,,,2,,
Glenmont,,,,27,,
Greensboro,3,,,,,
Archives-Navy Memorial,,,,,10,10
Dunn Loring,,2,,,,
Deanwood,,23,,,,
L'Enfant Plaza,18,16,17,,9,9
Branch Avenue,,,,,,1
Twinbrook,,,,3,,
McPherson Square,14,12,13,,,
Eastern Market,21,19,20,,,
Franconia-Springfield,,,,,,
Potomac Avenue,22,20,21,,,
Waterfront,,,,,,8
New York Ave,,,,19,,
West Falls Church,,3,,,,
East Falls Church,6,4,,,,
Prince George's Plaza,,,,,,19
Reagan Washington National Airport,,,5,,5,
Shady Grove,,,,1,,
Pentagon,,,8,,8,
Benning Road,24,22,23,,,
Medical Center,,,,6,,
Van Dorn Street,,,,,,
King Street,,,3,,3,
Ballston,7,5,,,,
Stadium-Armory,23,21,22,,,
Navy Yard,,,,,,7
Largo Town Center,28,,27,,,
Southern Avenue,,,,,,4
West Hyattsville,,,,,18,18
Spring Hill,2,,,,,
Virginia Square-GMU,8,6,,,,
Eisenhower Avenue,,,,,2,
Cheverly,,24,,,,
Morgan Blvd.,27,,26,,,
Naylor Road,,,,,,3
Addison Road,26,,25,,,
Landover,,25,,,,
McLean,5,,,,,
Arlington Cemetery,,,9,,,
